,City,Latitude,Longitude,Tempature,Humidity,Cloudiness,Windspeed,Date of Weather
97,Gijang,35.2442,129.2139,71.33,71,85,4.65,2021-09-11
98,Castro,-24.7911,-50.0119,59.47,91,84,2.33,2021-09-11
99,Hithadhoo,-0.6,73.0833,82.51,70,81,7.36,2021-09-11
100,Atbasar,51.8,68.3333,40.15,63,10,10.6,2021-09-11
101,Dikson,73.5069,80.5464,41.56,95,100,12.21,2021-09-11
102,Puerto Ayora,-0.7393,-90.3518,69.55,89,91,5.01,2021-09-11
103,Maningrida,-12.0667,134.2667,83.89,60,27,6.35,2021-09-11
104,Conakry,9.538,-13.6773,78.08,82,100,2.82,2021-09-11
105,Hambantota,6.1241,81.1185,79.25,80,43,17.2,2021-09-11
106,Sinegor'ye,62.0788,150.477,38.64,54,87,2.95,2021-09-11
107,North Bend,43.4065,-124.2243,75.24,63,1,16.11,2021-09-11
108,Klaksvík,62.2266,-6.589,50.92,82,96,7.45,2021-09-11
109,Lebu,-37.6167,-73.65,48.2,87,94,28.16,2021-09-11
110,Vaitape,-16.5167,-151.75,77.58,72,46,16.35,2021-09-11
111,Punta Cardon,11.6581,-70.215,82.53,77,99,26.89,2021-09-11
112,Bengkulu,-3.8004,102.2655,75.11,89,77,4.16,2021-09-11
113,Port Hardy,50.6996,-127.4199,62.78,72,75,4.61,2021-09-11
114,Ciudad Ojeda,10.1964,-71.3082,83.39,69,100,3.51,2021-09-11
115,Fortuna,40.5982,-124.1573,69.93,66,1,5.01,2021-09-11
116,Kyra,49.5776,111.9753,46.2,94,100,6.02,2021-09-11
117,Omboué,-1.5746,9.2618,75.4,89,100,9.51,2021-09-11
118,Tasiilaq,65.6145,-37.6368,32.36,70,100,16.28,2021-09-11
119,Tripoli,32.8752,13.1875,80.02,66,0,7.14,2021-09-11
120,Semey,50.4111,80.2275,57.42,72,40,6.71,2021-09-11
121,Linqiong,30.4159,103.4609,73.22,80,32,1.03,2021-09-11
122,Margate,51.3813,1.3862,62.69,82,98,1.99,2021-09-11
123,Camacha,33.0833,-16.3333,72.82,83,75,8.05,2021-09-11
124,Rodrigues Alves,-7.738,-72.6509,79.0,93,41,2.55,2021-09-11
125,Dudinka,69.4058,86.1778,43.36,96,98,6.22,2021-09-11
126,Longyan,25.1072,117.0225,82.0,76,36,2.68,2021-09-11
127,Kuito,-12.3833,16.9333,58.86,37,43,2.75,2021-09-11
128,Chui,-33.6971,-53.4616,52.84,96,31,6.22,2021-09-11
129,Natal,-5.795,-35.2094,77.65,83,0,8.05,2021-09-11
130,Uvalde,29.3669,-99.767,91.53,21,1,8.05,2021-09-11
131,Grindavik,63.8424,-22.4338,46.87,76,75,5.75,2021-09-11
132,Caravelas,-17.7125,-39.2481,73.99,82,1,10.8,2021-09-11
133,Havøysund,70.9963,24.6622,40.08,79,99,9.42,2021-09-11
134,Bunia,1.5667,30.25,62.08,86,18,0.81,2021-09-11
135,Opuwo,-18.0607,13.84,69.37,22,3,5.75,2021-09-11
136,Khandyga,62.6667,135.6,53.35,52,23,0.34,2021-09-11
137,Kaitangata,-46.2817,169.8464,59.7,50,89,8.81,2021-09-11
138,Calama,-22.4667,-68.9333,59.49,25,20,17.27,2021-09-11
139,Hamilton,39.1834,-84.5333,78.93,64,1,1.01,2021-09-11
140,Adrar,20.5022,-10.0711,84.69,44,98,22.39,2021-09-11
141,Paamiut,61.994,-49.6678,44.47,96,100,10.2,2021-09-11
142,Provideniya,64.3833,-173.3,45.01,66,81,8.72,2021-09-11
143,Vila Velha,-20.3297,-40.2925,73.35,94,90,4.61,2021-09-11
144,Guerrero Negro,27.9769,-114.0611,80.87,63,46,14.81,2021-09-11
145,Ayna,-12.65,-73.9167,79.3,85,93,0.49,2021-09-11
146,Bambous Virieux,-20.3428,57.7575,71.85,73,40,16.11,2021-09-11
147,Acaraú,-2.8856,-40.12,78.26,83,14,15.55,2021-09-11
148,Drezdenko,52.8383,15.8308,63.64,94,29,5.17,2021-09-11
149,Kashira,54.8444,38.1669,57.54,85,87,6.35,2021-09-11
150,Linxia Chengguanzhen,35.6003,103.2064,62.04,66,0,2.91,2021-09-11
151,Marsh Harbour,26.5412,-77.0636,84.31,68,4,10.71,2021-09-11
152,Stromness,58.965,-3.296,52.05,91,100,5.01,2021-09-11
153,Aswān,24.0934,32.907,81.7,29,0,13.8,2021-09-11
154,Port Hawkesbury,45.6169,-61.3485,62.69,93,1,1.99,2021-09-11
155,Novyy Buh,47.6931,32.5216,61.02,41,100,5.12,2021-09-11
156,Preeceville,51.95,-102.6677,58.62,40,100,5.57,2021-09-11
157,Cidreira,-30.1811,-50.2056,60.03,83,1,7.58,2021-09-11
158,Jijiang,29.2906,106.2542,73.99,94,99,1.23,2021-09-11
159,Ancud,-41.8697,-73.8203,51.33,93,100,23.26,2021-09-11
160,Taksimo,56.3444,114.8794,52.66,90,100,2.33,2021-09-11
161,Ilulissat,69.2167,-51.1,17.47,73,0,7.02,2021-09-11
162,Saint Paul Harbor,57.79,-152.4072,53.31,70,100,4.99,2021-09-11
163,Arles,43.6768,4.6303,69.66,72,0,4.61,2021-09-11
164,Lethem,3.3803,-59.7968,80.01,70,42,6.13,2021-09-11
165,Raudeberg,61.9875,5.1352,56.07,94,100,4.0,2021-09-11
166,Abhā,18.2164,42.5053,67.82,64,0,0.0,2021-09-11
167,São Filipe,14.8961,-24.4956,79.36,78,100,4.43,2021-09-11
168,Nikolskoye,59.7035,30.7861,55.29,99,100,3.02,2021-09-11
169,Slave Lake,55.2834,-114.769,67.98,64,75,3.44,2021-09-11
170,Kempten (Allgäu),47.7267,10.3139,57.52,97,17,2.71,2021-09-11
171,Albert Lea,43.648,-93.3683,80.51,65,1,6.91,2021-09-11
172,Kalabo,-14.97,22.6814,69.94,33,78,7.07,2021-09-11
173,Torbay,47.6666,-52.7314,60.58,80,20,26.46,2021-09-11
174,Dakar,14.6937,-17.4441,80.73,89,40,4.61,2021-09-11
175,Isabela,6.7085,121.9711,80.65,83,100,7.58,2021-09-11
176,Vao,-22.6667,167.4833,67.93,60,32,13.27,2021-09-11
177,Nosy Varika,-20.5833,48.5333,64.2,92,92,6.06,2021-09-11
178,Caucayá,-0.1934,-74.7819,72.03,97,95,2.66,2021-09-11
179,Aklavik,68.2191,-135.0107,57.2,62,75,0.0,2021-09-11
180,Lentini,37.2855,14.9996,71.96,100,20,2.3,2021-09-11
181,Syamzha,60.0158,41.0614,46.85,90,99,2.53,2021-09-11
182,Port Elizabeth,-33.918,25.5701,61.09,88,20,12.66,2021-09-11
183,Nouadhibou,20.931,-17.0347,80.58,83,49,9.22,2021-09-11
184,Elmvale,44.5834,-79.8664,73.69,71,35,16.64,2021-09-11
185,Krapina,46.1608,15.8789,61.5,69,9,2.55,2021-09-11
186,Avarua,-21.2078,-159.775,80.65,74,90,13.8,2021-09-11
187,Hilo,19.7297,-155.09,84.27,67,75,4.61,2021-09-11
188,Thinadhoo,0.5333,72.9333,82.69,70,91,6.82,2021-09-11
189,Rodnikovo,45.043,33.9541,60.12,81,100,5.82,2021-09-11
190,Tuktoyaktuk,69.4541,-133.0374,51.8,71,90,12.66,2021-09-11
191,Hasaki,35.7333,140.8333,73.8,86,100,3.87,2021-09-11
192,Antón Lizardo,19.05,-95.9833,84.22,81,100,20.0,2021-09-11
193,Roebourne,-20.7833,117.1333,76.05,33,0,15.01,2021-09-11
194,Longyearbyen,78.2186,15.6401,31.84,74,0,13.8,2021-09-11
195,Kashgar,39.4547,75.9797,74.41,21,75,11.18,2021-09-11
196,Teya,60.3778,92.6267,47.95,91,98,5.01,2021-09-11
197,Beringovskiy,63.05,179.3167,36.18,98,100,22.35,2021-09-11
198,Jinchang,38.4953,102.1739,70.79,37,70,7.63,2021-09-11
199,Maniitsoq,65.4167,-52.9,39.78,47,100,11.39,2021-09-11
200,Kathmandu,27.7167,85.3167,66.58,86,81,0.43,2021-09-11
201,Zhigansk,66.7697,123.3711,48.07,60,36,10.8,2021-09-11
202,Port Shepstone,-30.7414,30.455,69.6,70,0,12.19,2021-09-11
203,Helong,42.5397,128.9972,58.33,55,2,7.9,2021-09-11
204,Chulumani,-16.4096,-67.5263,64.08,87,78,2.24,2021-09-11
205,Hammerfest,70.6634,23.6821,39.65,87,40,4.61,2021-09-11
206,Naryan-Mar,67.6713,53.087,34.5,93,43,8.9,2021-09-11
207,Stokmarknes,68.5646,14.9108,47.37,75,55,2.55,2021-09-11
208,Cabo San Lucas,22.8909,-109.9124,86.31,79,20,12.66,2021-09-11
209,Inhambane,-23.865,35.3833,66.07,74,28,5.99,2021-09-11
210,Smidovich,48.6,133.8167,56.68,72,99,15.01,2021-09-11
211,Galashki,43.1136,44.9894,59.95,91,95,2.44,2021-09-11
212,Lagdo,9.05,13.7333,74.1,91,84,3.69,2021-09-11
213,Tiznit Province,29.5833,-9.5,77.95,37,2,1.14,2021-09-11
214,Ust-Tsilma,65.441,52.1498,33.78,98,61,6.44,2021-09-11
215,Nome,64.5011,-165.4064,49.15,67,40,8.05,2021-09-11
216,Oddur,4.1213,43.8894,71.64,79,61,19.42,2021-09-11
217,Praia da Vitória,38.7333,-27.0667,70.05,73,75,20.15,2021-09-11
218,Mersing,2.4312,103.8405,75.11,100,86,5.75,2021-09-11
219,Sinaloa,25.0,-107.5,86.56,74,0,4.32,2021-09-11
220,Mbini,1.574,9.6134,76.57,89,100,6.46,2021-09-11
221,Oranjemund,-28.55,16.4333,56.05,82,24,3.44,2021-09-11
222,Dali,25.7,100.1833,62.87,87,41,1.45,2021-09-11
223,Kapoeta,4.7717,33.5903,76.37,68,97,4.85,2021-09-11
224,Haines Junction,60.7522,-137.5108,48.15,93,100,2.3,2021-09-11
225,Mubende,0.5606,31.39,61.43,88,67,1.45,2021-09-11
226,Taoudenni,22.6783,-3.9836,98.44,11,54,4.61,2021-09-11
227,Dalvik,65.9702,-18.5286,42.73,96,100,10.22,2021-09-11
228,Deputatsky,69.3,139.9,46.96,49,87,3.96,2021-09-11
229,Nsanje,-16.92,35.262,66.97,82,6,4.0,2021-09-11
230,Ferkessédougou,9.6,-5.2,71.67,96,100,2.3,2021-09-11
231,São Cristóvão,-11.0147,-37.2064,78.71,78,75,12.66,2021-09-11
232,Hirara,24.8,125.2833,77.27,100,75,26.46,2021-09-11
233,Isangel,-19.55,169.2667,77.11,65,75,9.22,2021-09-11
234,Pyapon,16.2833,95.6833,75.16,97,100,3.85,2021-09-11
235,Nerchinskiy Zavod,51.3088,119.61,48.81,90,100,2.33,2021-09-11
236,Bairiki Village,1.3292,172.9752,87.8,62,20,19.57,2021-09-11
237,Wanaka,-44.7,169.15,46.58,87,66,12.21,2021-09-11
238,Englewood,39.6478,-104.9878,91.24,21,75,1.01,2021-09-11
239,Owatonna,44.0839,-93.226,79.32,58,1,1.99,2021-09-11
240,Voyvozh,62.892,54.9635,34.9,99,88,6.64,2021-09-11
241,Nara,34.6851,135.8049,76.37,73,100,1.59,2021-09-11
242,Jackson,42.4165,-122.8345,89.74,30,2,5.01,2021-09-11
243,Imbituba,-28.24,-48.6703,66.09,86,74,3.33,2021-09-11
244,Flin Flon,54.7682,-101.865,57.04,51,40,6.91,2021-09-11
245,Airai,-8.9266,125.4092,68.41,55,52,2.55,2021-09-11
246,Yeppoon,-23.1333,150.7333,78.58,59,83,11.12,2021-09-11
247,Barroquinha,-3.0189,-41.1361,77.04,83,34,9.51,2021-09-11
248,Kirakira,-10.4544,161.9205,82.26,77,59,8.9,2021-09-11
249,Bathsheba,13.2167,-59.5167,83.01,84,20,13.8,2021-09-11
250,Zlobin,45.2924,14.6541,63.7,46,0,8.05,2021-09-11
251,Chapais,49.7834,-74.8492,58.78,95,94,14.34,2021-09-11
252,Makassar,-5.14,119.4221,77.05,94,20,2.3,2021-09-11
253,Pyshchug,58.8873,45.7134,40.41,94,72,3.0,2021-09-11
254,Bitam,2.076,11.5007,68.92,99,100,2.68,2021-09-11
255,Ribeira Grande,38.5167,-28.7,70.61,75,100,19.64,2021-09-11
256,Christchurch,-43.5333,172.6333,62.8,48,81,4.61,2021-09-11
257,Fortaleza,-3.7227,-38.5247,80.73,74,40,13.8,2021-09-11
258,Lansing,42.7325,-84.5555,77.99,76,32,12.03,2021-09-11
259,Lüderitz,-26.6481,15.1594,58.33,61,18,9.4,2021-09-11
260,Touros,-5.1989,-35.4608,77.9,76,3,15.37,2021-09-11
261,Ganta,7.3022,-8.5308,68.83,96,98,1.63,2021-09-11
262,Abu Dhabi,24.4667,54.3667,91.51,84,13,8.05,2021-09-11
263,Gainsborough,53.3833,-0.7667,59.92,86,0,6.91,2021-09-11
264,Iqaluit,63.7506,-68.5145,38.93,48,90,4.61,2021-09-11
265,Clyde River,70.4692,-68.5914,31.57,85,100,23.15,2021-09-11
266,Kostomuksha,64.571,30.5767,39.15,86,27,3.15,2021-09-11
267,Port Augusta,-32.5,137.7667,56.71,38,9,16.31,2021-09-11
268,Rocha,-34.4833,-54.3333,51.64,97,54,7.25,2021-09-11
269,Arona,28.0996,-16.681,73.31,87,0,5.75,2021-09-11
270,Myitkyina,25.3833,97.4,72.86,99,75,0.69,2021-09-11
271,Deolāli,19.95,73.8333,72.46,97,100,9.57,2021-09-11
272,Borovichi,58.3878,33.9155,54.09,94,94,1.99,2021-09-11
273,Solnechnyy,50.7214,136.6319,47.08,98,100,8.14,2021-09-11
274,Hong Kong,22.2855,114.1577,87.96,85,35,8.52,2021-09-11
275,Kailua,21.4022,-157.7394,85.41,67,40,4.61,2021-09-11
276,Wamba,8.9333,8.6,72.61,96,29,0.94,2021-09-11
277,Wajir,1.7471,40.0573,74.28,67,24,16.96,2021-09-11
278,Fort Nelson,58.8053,-122.7002,65.79,39,75,11.5,2021-09-11
279,Pisco,-13.7,-76.2167,61.02,82,0,16.11,2021-09-11
280,Najrān,17.4924,44.1277,79.45,21,50,3.96,2021-09-11
281,Sorong,-0.8833,131.25,80.73,79,82,1.66,2021-09-11
282,Torit,4.4133,32.5678,69.08,90,85,2.06,2021-09-11
283,Port Lincoln,-34.7333,135.8667,55.17,54,34,27.42,2021-09-11
284,Anshun,26.25,105.9333,68.29,87,42,2.28,2021-09-11
285,Kununurra,-15.7667,128.7333,76.98,61,1,1.14,2021-09-11
286,Kėdainiai,55.2883,23.9747,54.07,72,75,7.27,2021-09-11
287,Bosaso,11.2842,49.1816,91.85,44,37,9.26,2021-09-11
288,Aripuanã,-9.1667,-60.6333,76.78,76,55,1.32,2021-09-11
289,Mahenge,-8.6833,36.7167,60.06,79,11,2.42,2021-09-11
290,Mercedes,-34.6515,-59.4307,61.18,88,76,11.99,2021-09-11
291,Mount Isa,-20.7333,139.5,80.37,21,11,1.14,2021-09-11
292,Port Hedland,-20.3167,118.5667,69.85,88,0,5.75,2021-09-11
293,Hanzhong,33.0728,107.0303,69.62,91,40,1.9,2021-09-11
294,Ambulu,-8.345,113.6058,74.64,95,100,2.44,2021-09-11
295,Te Anau,-45.4167,167.7167,46.18,96,94,5.59,2021-09-11
296,Vestmannaeyjar,63.4427,-20.2734,50.74,81,38,5.66,2021-09-11
297,Waingapu,-9.6567,120.2641,81.63,65,64,6.51,2021-09-11
298,Seoul,37.5683,126.9778,70.99,78,40,3.44,2021-09-11
299,Kinston,35.2627,-77.5816,75.38,54,0,0.83,2021-09-11
300,Nanortalik,60.1432,-45.2371,40.78,74,100,19.44,2021-09-11
301,Geraldton,-28.7667,114.6,50.41,76,0,8.05,2021-09-11
302,Kloulklubed,7.0419,134.2556,75.7,72,100,7.4,2021-09-11
303,Gigmoto,13.7796,124.39,84.61,73,100,10.54,2021-09-11
304,Manyana,-23.4,21.7167,57.79,27,0,8.79,2021-09-11
305,Kibaya,-5.3,36.5667,54.14,91,2,4.72,2021-09-11
306,Abbeville,50.1,1.8333,62.56,94,98,6.11,2021-09-11
307,Victor Harbor,-35.5667,138.6167,55.0,57,40,1.99,2021-09-11
308,Grodków,50.6984,17.3845,62.33,82,80,2.95,2021-09-11
309,Moengo,5.6167,-54.4,76.73,85,11,5.21,2021-09-11
310,Ambilobe,-13.2,49.05,66.81,61,98,5.44,2021-09-11
311,Ucluelet,48.9329,-125.5528,65.05,96,100,3.76,2021-09-11
312,Constitución,-35.3333,-72.4167,51.71,88,100,22.7,2021-09-11
313,Henties Bay,-22.116,14.2845,53.85,79,2,6.2,2021-09-11
314,Lavrentiya,65.5833,-171.0,43.14,77,77,9.91,2021-09-11
315,Merauke,-8.4667,140.3333,80.85,78,98,8.37,2021-09-11
316,Ahipara,-35.1667,173.1667,59.52,60,19,7.02,2021-09-11
317,Lanzhou,36.0564,103.7922,56.48,64,0,2.86,2021-09-11
318,Itarema,-2.9248,-39.9167,78.13,83,16,15.3,2021-09-11
319,Katobu,-4.9408,122.5276,78.89,87,87,4.74,2021-09-11
320,Forsytheganj,52.6333,29.7333,55.8,78,83,2.57,2021-09-11
321,Saint Anthony,45.0205,-93.218,75.81,51,1,1.01,2021-09-11
322,Kangaatsiaq,68.3065,-53.4641,34.14,62,1,7.27,2021-09-11
323,Marratxí,39.6421,2.7539,72.72,84,20,1.01,2021-09-11
324,Tautira,-17.7333,-149.15,82.42,65,41,12.08,2021-09-11
325,Katsuura,35.1333,140.3,75.31,88,100,5.73,2021-09-11
326,Pangnirtung,66.1451,-65.7125,33.96,49,2,4.56,2021-09-11
327,Kushiro,42.975,144.3747,61.75,100,75,10.36,2021-09-11
328,Souillac,-20.5167,57.5167,71.98,73,40,16.11,2021-09-11
329,Fes,34.0372,-4.9998,73.65,37,0,5.75,2021-09-11
330,Yerbogachën,61.2767,108.0108,46.33,69,100,1.36,2021-09-11
331,Kutum,14.2,24.6667,75.74,63,36,2.62,2021-09-11
332,Simao,22.7886,100.9748,64.53,76,0,0.31,2021-09-11
333,Pringsewu,-5.3582,104.9744,75.92,91,85,2.19,2021-09-11
334,Nizhniy Kuranakh,58.8353,125.4869,53.73,72,2,1.34,2021-09-11
335,Bintulu,3.1667,113.0333,77.41,94,20,2.3,2021-09-11
336,Saint George,37.1041,-113.5841,99.63,19,1,8.99,2021-09-11
337,Belyy Gorodok,56.965,37.5125,55.99,95,81,3.94,2021-09-11
338,Adjumani,3.3779,31.7909,65.97,97,81,2.28,2021-09-11
339,Esperance,-33.8667,121.9,51.64,57,95,9.35,2021-09-11
340,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,49.71,90,100,19.77,2021-09-11
341,Pevek,69.7008,170.3133,29.98,75,100,14.7,2021-09-11
342,Salinópolis,-0.6136,-47.3561,79.65,80,9,12.03,2021-09-11
343,Dodoma,-6.1722,35.7395,62.98,69,3,7.72,2021-09-11
344,Buala,-8.145,159.5921,84.7,68,37,11.68,2021-09-11
345,Mutatá,7.2441,-76.4356,75.7,96,100,0.51,2021-09-11
346,Rio Verde de Mato Grosso,-18.9181,-54.8442,87.51,29,24,2.66,2021-09-11
347,Portland,45.5234,-122.6762,82.98,43,20,1.99,2021-09-11
348,Mbarara,-0.608,30.65,63.93,65,39,3.11,2021-09-11
349,Brae,60.3964,-1.353,51.71,68,100,16.93,2021-09-11
350,Brookings,44.3114,-96.7984,75.61,46,1,13.8,2021-09-11
351,Turiaçu,-1.6633,-45.3717,75.61,91,21,5.59,2021-09-11
352,San Policarpo,12.1791,125.5072,83.05,81,100,9.1,2021-09-11
353,Asadābād,34.7824,48.1185,65.26,21,0,1.45,2021-09-11
354,Vardø,70.3705,31.1107,42.91,73,91,9.89,2021-09-11
355,Elk City,35.412,-99.4043,93.42,26,1,13.8,2021-09-11
356,Karratha,-20.7377,116.8463,75.81,33,0,13.47,2021-09-11
357,Normandin,48.8333,-72.5321,66.51,59,93,10.36,2021-09-11
358,Iquique,-20.2208,-70.1431,59.04,74,83,1.52,2021-09-11
359,Barranca,-10.75,-77.7667,60.94,88,95,9.24,2021-09-11
360,Ruska Poliana,49.417,31.9201,61.25,62,85,3.31,2021-09-11
361,Norman Wells,65.282,-126.8329,59.04,72,75,2.3,2021-09-11
362,Aitape,-3.1374,142.3475,84.51,67,70,4.52,2021-09-11
363,Seydi,39.4816,62.9137,63.0,18,0,10.27,2021-09-11
364,Hofn,64.2539,-15.2082,52.81,64,15,7.43,2021-09-11
365,Bodden Town,19.2833,-81.25,86.0,79,20,4.0,2021-09-11
366,Rome,43.2128,-75.4557,70.9,64,15,1.99,2021-09-11
367,Kinshasa,-4.3246,15.3215,75.52,83,20,5.75,2021-09-11
